City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,beihai,21.4833,109.1,17.08,85,100,9.88,CN,1699815390
307,narvik,68.4384,17.4272,-1.33,67,2,4.07,NO,1699815390
308,waingapu,-9.6567,120.2641,26.72,82,100,1.33,ID,1699815390
309,vizinga,61.0749,50.1031,-0.36,98,100,1.77,RU,1699815390
310,bikenibeu village,1.3673,173.1241,27.98,89,75,1.54,KI,1699815390
311,mukalla,14.5425,49.1242,27.01,70,0,2.1,YE,1699815391
312,carloforte,39.145,8.3058,19.54,71,22,10.07,IT,1699815391
313,poronaysk,49.2167,143.1167,-7.85,83,46,3.48,RU,1699815391
314,zanjan,36.6736,48.4787,13.02,34,95,1.56,IR,1699815391
315,conde,-7.2597,-34.9075,29.7,54,40,6.69,BR,1699815391
316,ishigaki,24.3448,124.1572,20.07,94,75,8.75,JP,1699815391
317,la cocha,-27.7773,-65.5704,22.36,72,100,4.96,AR,1699815392
318,big spring,32.2504,-101.4787,13.46,84,100,0.45,US,1699815392
319,leava,-14.3,-178.1667,28.1,84,73,7.99,WF,1699815392
320,santa elena de uairen,4.6167,-61.1333,26.02,63,100,1.6,VE,1699815392
321,madimba,-10.4,40.3333,25.62,94,75,5.14,TZ,1699815392
322,dryden,49.7833,-92.7503,1.16,93,75,3.6,CA,1699815393
323,qingyuan,23.7,113.0333,17.99,77,41,3.49,CN,1699815393
324,fort mcmurray,56.7268,-111.381,0.77,80,0,3.6,CA,1699815393
325,lastoursville,-0.8143,12.7287,23.51,88,81,0.8,GA,1699815393
326,nemuro,43.3236,145.575,2.99,62,34,3.52,JP,1699815393
327,paragominas,-2.9667,-47.4833,38.54,23,95,2.04,BR,1699815394
328,hotan,37.0997,79.9269,4.54,26,0,0.95,CN,1699815394
329,novokayakent,42.3937,47.9861,15.23,65,68,3.1,RU,1699815394
330,gamba,-2.65,10.0,25.43,85,99,2.13,GA,1699815394
331,arraial do cabo,-22.9661,-42.0278,29.98,74,0,6.17,BR,1699815394
332,cidade velha,14.9167,-23.6167,29.26,39,67,7.2,CV,1699815395
333,conceicao do jacuipe,-12.3167,-38.7667,33.09,30,0,4.8,BR,1699815395
334,al bardiyah,31.7561,25.0865,21.63,77,3,2.7,LY,1699815395
335,vernon,50.2581,-119.2691,6.45,61,100,2.57,CA,1699815290
336,coahuayana de hidalgo,18.7,-103.6583,32.38,56,0,2.68,MX,1699815395
337,irshava,48.3167,23.0385,7.59,86,95,1.62,UA,1699815396
338,al hazm,16.1641,44.7769,24.06,36,79,2.1,YE,1699815396
339,livingstone,-17.8419,25.8543,27.74,21,30,2.07,ZM,1699815396
340,saint-paul,-21.0096,55.2707,22.06,87,22,0.45,RE,1699815396
341,hluti,-27.2167,31.6167,15.77,79,100,3.32,SZ,1699815396
342,san andres,12.5847,-81.7006,31.01,79,20,4.12,CO,1699815397
343,bedarieux,43.6155,3.1571,17.06,79,100,3.33,FR,1699815397
344,darwin,-12.4611,130.8418,26.99,78,100,2.06,AU,1699815397
345,iquique,-20.2208,-70.1431,21.02,73,55,4.66,CL,1699815397
346,kokshetau,53.2775,69.3883,4.01,94,100,3.38,KZ,1699815397
347,nikolayevsk-on-amure,53.1406,140.73,-8.49,92,80,4.59,RU,1699815398
348,morondava,-20.2833,44.2833,25.29,75,0,3.85,MG,1699815398
349,alaghsas,17.0187,8.0168,29.94,10,0,4.63,NE,1699815398
350,magadan,59.5667,150.8,-11.47,68,100,5.06,RU,1699815398
351,karis,60.0718,23.6616,4.23,91,100,4.66,FI,1699815398
352,shahdad kot,27.8477,67.9055,21.4,24,81,0.5,PK,1699815399
353,karachi,24.9056,67.0822,20.9,60,100,3.09,PK,1699815399
354,rosario,-32.9468,-60.6393,23.95,33,0,10.29,AR,1699815289
355,boguchany,58.3814,97.4531,-9.52,94,96,1.34,RU,1699815399
356,ghadamis,30.1337,9.5007,19.58,36,0,2.6,LY,1699815399
357,vadso,70.0744,29.7487,-3.91,80,0,6.17,NO,1699815399
358,ouarzazat,30.9189,-6.8934,24.16,17,0,1.54,MA,1699815400
359,djamaa,33.5339,5.9931,19.35,45,0,2.11,DZ,1699815400
360,kill devil hills,36.0307,-75.676,13.88,73,100,9.77,US,1699815138
